AbsoluteDeltaPercentilePrior,Boundary,ChartTimeFrame,Direction,EntryBar,EntryPrice,High,Italy,London,Low,OperationalEntry,OrderSubmitted,OutsideCloseStreak,POC,ProfileLabel,Range,ShadowId,ShadowModel,TotalVolumePercentilePrior,TradeCoverage,Trigger,UTC
0.8,LOW,M5,SHORT,4011,29166.0,29215.75,2026-06-11 11:14:54,2026-06-11 10:14:54,29176.5,False,False,2,29180.0,2026-06-11:3999-4005:DynamicCompression,39.25,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-11 09:14:54
1.0,LOW,M5,SHORT,4034,29096.0,29186.25,2026-06-11 13:09:57,2026-06-11 12:09:57,29138.5,False,False,2,29146.5,2026-06-11:4012-4020:DynamicCompression,47.75,2026-06-11:4012-4020:DynamicCompression:4034:LOW,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-11 11:09:57
1.0,LOW,M5,SHORT,4301,29878.25,29958.0,2026-06-12 12:24:58,2026-06-12 11:24:58,29901.0,False,False,2,29945.75,2026-06-12:4292-4298:DynamicCompression,57.0,2026-06-12:4292-4298:DynamicCompression:4301:LOW,ACCEPTANCE_CONTINUATION_V1,0.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-12 10:24:58
1.0,LOW,M5,SHORT,4876,30902.5,30960.75,2026-06-16 14:19:58,2026-06-16 13:19:58,30928.5,False,False,2,30946.5,2026-06-16:4867-4873:DynamicCompression,32.25,2026-06-16:4867-4873:DynamicCompression:4876:LOW,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-16 12:19:58
1.0,LOW,M5,SHORT,5123,30462.25,30526.5,2026-06-17 11:54:59,2026-06-17 10:54:59,30485.25,False,False,2,30497.0,2026-06-17:5115-5121:DynamicCompression,41.25,2026-06-17:5115-5121:DynamicCompression:5123:LOW,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-17 09:54:59
0.79,LOW,M5,SHORT,5680,30608.25,30650.0,2026-06-19 12:19:57,2026-06-19 11:19:57,30617.25,False,False,2,30639.0,2026-06-19:5654-5660:DynamicCompression,32.75,2026-06-19:5654-5660:DynamicCompression:5680:LOW,ACCEPTANCE_CONTINUATION_V1,0.47,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-19 10:19:57
1.0,HIGH,M5,LONG,5697,30593.5,30581.5,2026-06-19 13:44:57,2026-06-19 12:44:57,30535.75,False,False,2,30557.75,2026-06-19:5688-5694:DynamicCompression,45.75,2026-06-19:5688-5694:DynamicCompression:5697:HIGH,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-19 11:44:57
0.5,HIGH,M5,LONG,6201,29867.75,29842.25,2026-06-23 13:44:58,2026-06-23 12:44:58,29752.0,False,False,2,29795.0,2026-06-23:6188-6194:DynamicCompression,90.25,2026-06-23:6188-6194:DynamicCompression:6201:HIGH,ACCEPTANCE_CONTINUATION_V1,0.83,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-23 11:44:58
0.83,HIGH,M5,LONG,6227,29876.75,29775.0,2026-06-23 15:54:59,2026-06-23 14:54:59,29691.75,False,False,2,29712.0,2026-06-23:6212-6220:DynamicCompression,83.25,2026-06-23:6212-6220:DynamicCompression:6227:HIGH,ACCEPTANCE_CONTINUATION_V1,0.5,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-23 13:54:59
0.75,LOW,M5,SHORT,6453,29765.75,29843.75,2026-06-24 11:44:58,2026-06-24 10:44:58,29793.75,False,False,2,29820.0,2026-06-24:6442-6448:DynamicCompression,50.0,2026-06-24:6442-6448:DynamicCompression:6453:LOW,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-24 09:44:58
0.0,HIGH,M5,LONG,6464,29821.5,29821.25,2026-06-24 12:39:55,2026-06-24 11:39:55,29774.0,False,False,2,29800.0,2026-06-24:6455-6461:DynamicCompression,47.25,2026-06-24:6455-6461:DynamicCompression:6464:HIGH,ACCEPTANCE_CONTINUATION_V1,0.5,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-24 10:39:55
0.57,LOW,M5,SHORT,6750,30117.75,30185.0,2026-06-25 13:29:59,2026-06-25 12:29:59,30140.0,False,False,2,30155.0,2026-06-25:6735-6742:DynamicCompression,45.0,2026-06-25:6735-6742:DynamicCompression:6750:LOW,ACCEPTANCE_CONTINUATION_V1,0.86,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-25 11:29:59
,LOW,M5,SHORT,6995,29385.0,29514.0,2026-06-26 10:54:59,2026-06-26 09:54:59,29444.25,False,False,2,29492.75,2026-06-26:6987-6993:DynamicCompression,69.75,2026-06-26:6987-6993:DynamicCompression:6995:LOW,ACCEPTANCE_CONTINUATION_V1,,MISSING,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-26 08:54:59
,HIGH,M5,LONG,7022,29398.0,29387.0,2026-06-26 13:09:58,2026-06-26 12:09:58,29340.25,False,False,2,29357.0,2026-06-26:7013-7019:DynamicCompression,46.75,2026-06-26:7013-7019:DynamicCompression:7022:HIGH,ACCEPTANCE_CONTINUATION_V1,,MISSING,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-26 11:09:58
,LOW,M5,SHORT,7032,29351.0,29402.25,2026-06-26 13:59:58,2026-06-26 12:59:58,29354.5,False,False,2,29370.75,2026-06-26:7024-7030:DynamicCompression,47.75,2026-06-26:7024-7030:DynamicCompression:7032:LOW,ACCEPTANCE_CONTINUATION_V1,,MISSING,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-26 11:59:58
0.14,HIGH,M5,LONG,7286,29717.5,29688.25,2026-06-29 12:09:57,2026-06-29 11:09:57,29640.5,False,False,2,29660.0,2026-06-29:7272-7278:DynamicCompression,47.75,2026-06-29:7272-7278:DynamicCompression:7286:HIGH,ACCEPTANCE_CONTINUATION_V1,0.57,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-29 10:09:57
0.13,LOW,M5,SHORT,7317,29674.5,29759.75,2026-06-29 14:44:59,2026-06-29 13:44:59,29697.0,False,False,2,29707.75,2026-06-29:7302-7308:DynamicCompression,62.75,2026-06-29:7302-7308:DynamicCompression:7317:LOW,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-06-29 12:44:59
0.5,HIGH,M5,LONG,7835,30378.5,30365.0,2026-07-01 11:54:58,2026-07-01 10:54:58,30338.75,False,False,2,30352.5,2026-07-01:7826-7832:DynamicCompression,26.25,2026-07-01:7826-7832:DynamicCompression:7835:HIGH,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-01 09:54:58
0.67,HIGH,M5,LONG,8133,30057.5,30021.5,2026-07-02 13:44:59,2026-07-02 12:44:59,29967.0,False,False,2,29974.75,2026-07-02:8121-8129:DynamicCompression,54.5,2026-07-02:8121-8129:DynamicCompression:8133:HIGH,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-02 11:44:59
0.0,HIGH,M5,LONG,8373,29870.0,29861.0,2026-07-03 10:44:49,2026-07-03 09:44:49,29832.75,False,False,2,29840.0,2026-07-03:8365-8371:DynamicCompression,28.25,2026-07-03:8365-8371:DynamicCompression:8373:HIGH,ACCEPTANCE_CONTINUATION_V1,0.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-03 08:44:49
0.0,HIGH,M5,LONG,8398,29885.5,29884.0,2026-07-03 12:49:48,2026-07-03 11:49:48,29864.5,False,False,2,29878.0,2026-07-03:8390-8396:DynamicCompression,19.5,2026-07-03:8390-8396:DynamicCompression:8398:HIGH,ACCEPTANCE_CONTINUATION_V1,0.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-03 10:49:48
0.5,HIGH,M5,LONG,8616,29877.0,29875.0,2026-07-06 11:59:59,2026-07-06 10:59:59,29839.0,False,False,2,29859.0,2026-07-06:8605-8611:DynamicCompression,36.0,2026-07-06:8605-8611:DynamicCompression:8616:HIGH,ACCEPTANCE_CONTINUATION_V1,0.5,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-06 09:59:59
0.0,HIGH,M5,LONG,9175,29030.75,29011.0,2026-07-08 12:34:59,2026-07-08 11:34:59,28922.75,False,False,2,28930.0,2026-07-08:9163-9173:DynamicCompression,88.25,2026-07-08:9163-9173:DynamicCompression:9175:HIGH,ACCEPTANCE_CONTINUATION_V1,1.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-08 10:34:59
0.0,HIGH,M5,LONG,9190,29079.5,29033.0,2026-07-08 13:49:59,2026-07-08 12:49:59,28973.0,False,False,2,28995.0,2026-07-08:9182-9188:DynamicCompression,60.0,2026-07-08:9182-9188:DynamicCompression:9190:HIGH,ACCEPTANCE_CONTINUATION_V1,0.0,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-08 11:49:59
0.5,LOW,M5,SHORT,9442,29627.0,29675.75,2026-07-09 11:49:57,2026-07-09 10:49:57,29629.0,False,False,2,29667.75,2026-07-09:9431-9439:DynamicCompression,46.75,2026-07-09:9431-9439:DynamicCompression:9442:LOW,ACCEPTANCE_CONTINUATION_V1,0.5,AVAILABLE,SECOND_CONSECUTIVE_OUTSIDE_CLOSE,2026-07-09 09:49:57
